,receptor,weight,ligexp,recpercent,LRexp,GE,cell
1,RACK1,0.07420707,1.049335857,0.732783705,0.768936217,GE1,B Cells
2,ANXA6,0.10564052,1.008813056,0.365664403,0.368887024,GE1,B Cells
3,PTK2B,0.154872339,2.20524344,0.146944714,0.324048866,GE1,B Cells
4,CALM1,0.019348331,2.20524344,0.615906887,1.358224621,GE1,B Cells
5,PRNP,0.217158415,2.20524344,0.132395732,0.29196482,GE1,B Cells
6,RACK1,0.120180317,3.199549018,0.732783705,2.344577385,GE1,B Cells
7,CD47,0.034005152,1.733982812,0.339152926,0.588085344,GE1,B Cells
8,ITGA4,0.227632009,1.733982812,0.195926285,0.339732811,GE1,B Cells
9,ITGB1,0.215658962,1.733982812,0.175396056,0.304133746,GE1,B Cells
10,ITGB2,0.24899674,1.214035578,0.229388943,0.278486338,GE1,B Cells
11,CXCR4,0.217748793,8.238371495,0.835434853,6.882622678,GE1,B Cells
12,CXCR5,0.237069961,1.833480108,0.179599095,0.329291368,GE1,B Cells
13,CXCR3,0.205567847,1.833480108,0.075008083,0.137525828,GE1,B Cells
14,CCR7,0.221711652,1.833480108,0.343355965,0.629536332,GE1,B Cells
15,CCR6,0.231375926,1.833480108,0.175719366,0.322177963,GE1,B Cells
16,CXCR4,0.173296783,1.833480108,0.835434853,1.531753184,GE1,B Cells
17,ITGB1,0.142809968,2.597490374,0.175396056,0.455589566,GE1,B Cells
18,CXCR4,0.252284246,1.621221813,0.835434853,1.354425207,GE10,B Cells
19,CCR7,0.221711652,1.621221813,0.343355965,0.55665618,GE10,B Cells
20,CD44,0.167095569,1.621221813,0.402845134,0.653101319,GE10,B Cells
21,CXCR4,0.173296783,2.283391998,0.835434853,1.907625258,GE10,B Cells
22,CCR7,0.221711652,2.283391998,0.343355965,0.784016263,GE10,B Cells
23,CXCR4,0.173296783,2.122219583,0.835434853,1.772976205,GE10,B Cells
24,CCR7,0.221711652,2.122219583,0.343355965,0.728676753,GE10,B Cells
25,RPSA,0.21140433,1.077144546,0.919980601,0.990952087,GE10,B Cells
26,ANXA6,0.136650637,1.844095601,0.365664403,0.674320118,GE10,B Cells
27,RACK1,0.277758087,1.023128687,0.732783705,0.74973203,GE10,B Cells
28,SELL,0.544635394,1.143736662,0.485612674,0.555413019,GE10,B Cells
29,ITGB2,0.267106333,2.701612839,0.229388943,0.619720113,GE10,B Cells
30,IL2RG,0.413630673,2.098748306,0.384093113,0.806114771,GE10,B Cells
31,ANXA6,0.10564052,1.211676306,0.365664403,0.443066894,GE2,B Cells
32,CXCR4,0.252284246,1.072667632,0.835434853,0.896143925,GE2,B Cells
33,CCR7,0.221711652,1.072667632,0.343355965,0.36830683,GE2,B Cells
34,CD44,0.167095569,1.072667632,0.402845134,0.432118936,GE2,B Cells
35,CXCR4,0.173296783,1.05858688,0.835434853,0.884380374,GE2,B Cells
36,CCR7,0.221711652,1.05858688,0.343355965,0.36347212,GE2,B Cells
37,RACK1,0.277758087,1.506569385,0.732783705,1.103989496,GE2,B Cells
38,CD47,0.370472889,1.506569385,0.339152926,0.510957415,GE2,B Cells
39,CD47,0.252443677,1.145003449,0.339152926,0.38833127,GE2,B Cells
40,CD44,0.167095569,1.297450768,0.402845134,0.522671729,GE2,B Cells
41,RPSA,0.21140433,1.165284292,0.919980601,1.072038943,GE2,B Cells
42,ANXA6,0.136650637,1.78906385,0.365664403,0.654196966,GE2,B Cells
43,ITGB2,0.267106333,1.887480918,0.229388943,0.432967252,GE2,B Cells
44,SELL,0.544635394,2.410193398,0.485612674,1.17042046,GE2,B Cells
45,RPSA,0.162086214,1.043696997,0.919980601,0.960180991,GE2,B Cells
46,SEC63,0.160410267,3.932282183,0.10847074,0.42653756,GE2,B Cells
47,RACK1,0.120180317,1.07621906,0.732783705,0.78863579,GE2,B Cells
48,CXCR4,0.307457128,4.547206624,0.835434853,3.798894897,GE3,B Cells
49,CCR7,0.258285843,4.547206624,0.343355965,1.561310519,GE3,B Cells
50,GPR18,0.137482783,7.864018853,0.140316844,1.10345431,GE3,B Cells
51,P2RY10,0.154809555,7.864018853,0.171354672,1.34753637,GE3,B Cells
52,GPR65,0.155195689,7.864018853,0.157937278,1.24202173,GE3,B Cells
53,CYSLTR1,0.155585584,7.864018853,0.135628839,1.066587749,GE3,B Cells
54,CXCR5,0.237069961,7.864018853,0.179599095,1.412370667,GE3,B Cells
55,CXCR4,0.173296783,7.864018853,0.835434853,6.569875433,GE3,B Cells
56,CCR7,0.221711652,7.864018853,0.343355965,2.700157783,GE3,B Cells
57,CCR6,0.231375926,7.864018853,0.175719366,1.381860409,GE3,B Cells
58,CXCR5,0.237069961,6.410361413,0.179599095,1.151295107,GE3,B Cells
59,CXCR4,0.252284246,6.410361413,0.835434853,5.355439344,GE3,B Cells
60,CCR7,0.221711652,6.410361413,0.343355965,2.20103583,GE3,B Cells
61,CCR6,0.231375926,6.410361413,0.175719366,1.126424645,GE3,B Cells
62,ITGA4,0.200830142,6.410361413,0.195926285,1.255958298,GE3,B Cells
63,CD44,0.167095569,6.410361413,0.402845134,2.582382904,GE3,B Cells
64,RPSA,0.216274305,8.150140106,0.919980601,7.497970796,GE3,B Cells
