,GE1,GE10,GE2,GE3,GE4,GE5,GE6,GE7,GE8,GE9
B Cells,17,10,15,16,15,25,21,19,16,14
CD4+ T Cells,26,20,21,21,26,30,31,22,25,20
CD8+ T Cells,25,18,18,20,22,30,29,26,26,22
Dendritic Cells,41,30,33,38,35,38,34,35,38,34
Endothelial Cells,19,29,55,31,32,25,19,23,54,45
Fibroblasts,36,13,37,18,19,26,27,28,41,25
Macrophages,35,29,32,34,23,32,30,37,38,32
Mast Cells,21,11,18,14,14,25,15,25,23,20
MDSCs,35,26,17,25,23,31,32,34,15,22
Monocytes,40,33,36,39,31,33,30,37,41,33
Myoepithelial Cells,28,14,23,17,25,22,31,21,22,26
Neutrophils,34,36,26,34,27,27,34,39,29,22
NK Cells,26,15,11,13,14,20,25,23,14,12
Perivascular-like (PVL) Cells,31,23,30,23,28,29,31,30,34,32
Plasma Cells,17,10,9,11,14,19,27,13,10,11
Regulatory T Cells,26,28,19,23,34,36,32,30,21,27
Reprogrammed NK Cells,18,16,17,14,17,24,28,28,19,17
